Contains 'G' Schmidt semi-normalized spherical harmonic coefficients for Engle (1992) magnetopause current field model of Jupiter, organized as G_mn in nanotesla (nT), so that each row represents a single n and each column a single m. See https://doi.org/10.1029/92JA02036 . These coefficients are for the "alpha = 0" model.
         G0n,         G1n,         G2n,         G3n,         G4n,         G5n,         G6n,         G7n,         G8n,         G9n,        G10n
  0.59275246,  0.08463279,           0,           0,           0,           0,           0,           0,           0,           0,           0
 -0.00902042,  0.35437128,  0.04659788,           0,           0,           0,           0,           0,           0,           0,           0
  0.07025722,  0.05317063,  0.08105188,  0.01199460,           0,           0,           0,           0,           0,           0,           0
 -0.04075510,  0.13302007,  0.03745845,  0.01064195,  0.00210451,           0,           0,           0,           0,           0,           0
 -0.00477083,  0.00209439,  0.05506673,  0.00771954,  0.00221357, -0.00038748,           0,           0,           0,           0,           0
 -0.01532502,  0.04655991,  0.02042963,  0.00980016, -0.00147426,  0.00206876, -0.00052545,           0,           0,           0,           0
 -0.01858089, -0.01302618,  0.03087966,  0.01164009, -0.00166721, -0.00333330,  0.00039685, -0.00077053,           0,           0,           0
  0.00198028, -0.00007466, -0.00004015,  0.00995186,  0.00360173, -0.00012496, -0.00145061,  0.00004606, -0.00053393,           0,           0
 -0.01007145, -0.00012514,  0.00018751,  0.00041246,  0.00122338,  0.00078892,  0.00003744, -0.00044515,  0.00002257, -0.00043234,           0
  0.00003414, -0.00009673,  0.00000886,  0.00043325,  0.00021406, -0.00014237,  0.00002341, -0.00003850, -0.00013273, -0.00000001, -0.00000041
