Contains 'h' Schmidt semi-normalized spherical harmonic coefficients for VIP4 internal field model of Jupiter in gauss (G), organized as h_mn, so that each row represents a single n and each column a single m. See https://doi.org/10.1029/97JA03726
h0n,      h1n,      h2n,      h3n,     h4n
  0,  0.24992,        0,        0,       0
  0, -0.36052,  0.05250,        0,       0
  0, -0.08804,  0.40829, -0.31586,       0
  0,  0.07557,  0.40411, -0.16597, 0.03866
